614;4981
988;6569
720;1197
583;8400
735;4917
112;7051
1;9182
518;1384
970;7772
236;619
654;5716
544;6446
723;2943
429;9505
253;8428
195;5633
865;2025
322;5407
990;8631
980;1327
59;3264
472;3233
203;2943
42;1258
202;9679
681;2937
676;7783
494;9553
481;8678
354;8379
556;434
922;7162
373;5585
549;337
682;8304
104;5590
709;3681
983;8493
826;1939
784;6214
943;8908
909;380
499;3461
586;4327
701;2819
162;6988
589;4836
45;3362
162;2784
380;4022
963;1457
61;3397
233;1793
804;5126
90;5262
270;8803
634;9563
971;2813
279;9237
20;6640
704;1336
107;6040
762;3161
743;6961
444;7255
945;9150
797;4355
664;3301
193;3295
703;8373
519;80
792;8523
427;445
229;8217
92;3234
442;8389
751;8026
131;6614
904;3981
2;597
77;8131
326;1301
825;1940
791;327
657;793
23;3112
51;8174
993;2713
676;2126
497;6843
187;6711
492;4258
66;2028
201;9963
992;1220
708;7514
57;2770
722;2921
27;3004
900;7727
317;6023
230;4705
606;1368
795;7930
576;4175
768;1275
139;9480
628;2138
711;607
985;9266
546;4048
149;2785
541;9781
960;7988
746;710
354;3539
850;470
92;7546
262;7722
25;6062
493;3160
390;4167
608;6943
196;5666
885;4928
901;8300
762;6969
845;2605
909;5835
189;9831
337;921
953;4259
745;3581
652;5869
813;3634
281;7243
180;2896
717;3086
340;1237
132;6592
648;8907
499;5816
458;22
275;8620
890;4489
212;7609
897;5705
28;1630
942;5323
116;9529
856;4639
412;3543
234;3850
419;8307
472;3247
324;5147
203;9591
756;2528
679;5520
426;4328
699;338
958;720
708;4561
884;3361
668;5352
805;3481
320;4899
522;423
74;5654
697;3401
715;1063
459;1836
12;9152
706;8906
275;3734
121;66
445;8650
923;335
502;7678
798;8545
471;3980
159;4704
99;8824
757;837
407;7174
521;4574
954;5575
126;5189
859;4619
576;2350
422;3793
773;1300
18;2342
917;8598
358;9549
507;7738
105;5816
183;1990
380;9932
34;4939
246;1890
537;6892
343;7956
542;174
944;5307
398;1005
789;8774
408;3823
429;8412
742;2822
294;8489
446;6205
840;2369
319;3687
381;6914
727;9730
47;7422
914;5868
